iter	RMSE
250	4.57756957
251	4.574751787
252	4.573964348
253	4.571105434
254	4.566236518
255	4.56056205
256	4.555754065
257	4.552670018
258	4.55233846
259	4.551626825
260	4.551018772
261	4.550508934
262	4.549803554
263	4.542716831
264	4.540481993
265	4.538614546
266	4.536210115
267	4.533332308
268	4.531063518
269	4.528597441
270	4.522297359
271	4.521397238
272	4.51804759
273	4.51527606
274	4.514790601
275	4.508819843
276	4.503469981
277	4.501293223
278	4.494724155
279	4.489630012
280	4.48714197
281	4.484133968
282	4.478883722
283	4.477761701
284	4.473719202
285	4.470194381
286	4.469373319
287	4.464427467
288	4.45832298
289	4.456360608
290	4.453364164
291	4.447905818
292	4.444116279
293	4.442060781
294	4.434216911
295	4.426495269
296	4.419081925
297	4.418206401
298	4.417630762
299	4.415233884
300	4.413036083
301	4.408828735
302	4.40574611
303	4.401378042
304	4.395909428
305	4.392805811
306	4.392060366
307	4.389185525
308	4.387559652
309	4.383228513
310	4.380836447
311	4.377192535
312	4.372164215
313	4.368547489
314	4.366618291
315	4.364791022
316	4.364655954
317	4.36260415
318	4.358679344
319	4.354709591
320	4.351272852
321	4.348917518
322	4.34501028
323	4.342884619
324	4.341406209
325	4.33775539
326	4.335153943
327	4.334482429
328	4.331608941
329	4.328909283
330	4.322091408
331	4.321544372
332	4.318116482
333	4.313942498
334	4.313418342
335	4.310195461
336	4.305975216
337	4.301368897
338	4.297485668
339	4.294859556
340	4.292214973
341	4.290881482
342	4.286561178
343	4.286276955
344	4.283538597
345	4.27979618
346	4.274443572
347	4.270895509
348	4.269934801
349	4.267616627
350	4.264618599
351	4.259767513
352	4.258574071
353	4.256435614
354	4.255352719
355	4.249780381
356	4.249622066
357	4.246097178
358	4.24439101
359	4.239753296
360	4.236927723
361	4.236209794
362	4.232206097
363	4.226785151
364	4.226111411
365	4.219805329
366	4.219600661
367	4.218310314
368	4.215495775
369	4.211928361
370	4.211673148
371	4.205859956
372	4.200998302
373	4.199560961
374	4.197190121
375	4.19321474
376	4.187849802
377	4.186904383
378	4.186809566
379	4.184309477
380	4.179687449
381	4.178393443
382	4.17702015
383	4.172800742
384	4.169903822
385	4.166112669
386	4.161105879
387	4.158212602
388	4.152743867
389	4.15024479
390	4.147916476
391	4.144864689
392	4.140961621
393	4.136199108
394	4.133191869
395	4.131571631
396	4.129774048
397	4.123344561
398	4.12114361
399	4.117783132
400	4.117179639
401	4.114326765
402	4.110824674
403	4.108395769
404	4.105119704
405	4.10263315
406	4.099971402
407	4.096670823
408	4.093402508
409	4.09092046
410	4.090806415
411	4.086512159
412	4.086405555
413	4.082838956
414	4.075038121
415	4.073801063
416	4.071978801
417	4.067618754
418	4.065845131
419	4.062549267
420	4.0594464
421	4.056197551
422	4.055961119
423	4.052857022
424	4.050499107
425	4.049305447
426	4.046574328
427	4.045768338
428	4.041289099
429	4.038891235
430	4.037571717
431	4.03578016
432	4.028941467
433	4.026710682
434	4.0225993
435	4.01961265
436	4.01848648
437	4.017438141
438	4.01359643
439	4.010398044
440	4.006972458
441	4.002881713
442	4.000736599
443	3.996576231
444	3.992425267
445	3.986585937
446	3.984051157
447	3.980540829
448	3.979636555
449	3.972502578
450	3.9692833
451	3.967181278
452	3.964240138
453	3.960635225
454	3.956250914
455	3.95083511
456	3.948338151
457	3.945307282
458	3.943236633
459	3.939250943
460	3.936197613
461	3.93327767
462	3.932502186
463	3.930441661
464	3.92901314
465	3.926460535
466	3.924108444
467	3.921364682
468	3.918791434
469	3.916997248
470	3.913928568
471	3.910964381
472	3.909804446
473	3.906516706
474	3.904820557
475	3.902109907
476	3.900948965
477	3.898898902
478	3.898506055
479	3.895324293
480	3.894718712
481	3.891599224
482	3.889149652
483	3.884519248
484	3.881726023
485	3.877616657
486	3.876435266
487	3.872259251
488	3.87033245
489	3.867771792
490	3.861881462
491	3.859055634
492	3.856284382
493	3.855328647
494	3.853736267
495	3.852208743
496	3.849975188
497	3.847240538
498	3.844974729
499	3.843742675
500	3.840914769
501	3.835629321
502	3.833663107
503	3.830821644
504	3.82968728
505	3.828298859
506	3.825702414
507	3.821173306
508	3.817574706
509	3.814640934
510	3.810107244
511	3.805367049
512	3.805014514
513	3.80216727
514	3.797860341
515	3.797081321
516	3.795103891
517	3.793588893
518	3.791665996
519	3.78967141
520	3.783538914
521	3.78279951
522	3.780009749
523	3.779084953
524	3.777695087
525	3.773965735
526	3.772872415
527	3.770607235
528	3.768273937
529	3.765420133
530	3.764886519
531	3.762534519
532	3.757883298
533	3.753324287
534	3.750036437
535	3.747840157
536	3.744439714
537	3.741867283
538	3.737481857
539	3.736836867
540	3.734907745
541	3.731937844
542	3.726444512
543	3.723442068
544	3.720927033
545	3.718906419
546	3.717675495
547	3.714180534
548	3.713137917
549	3.709256906
550	3.707848193
551	3.704345216
552	3.700670738
553	3.700054867
554	3.698928276
555	3.695693188
556	3.693291965
557	3.691124473
558	3.690918393
559	3.688824943
560	3.687657956
561	3.685490321
562	3.682402733
563	3.680448291
564	3.677098459
565	3.674981141
566	3.673655018
567	3.67166097
568	3.670130079
569	3.668868077
570	3.664772395
571	3.662976819
572	3.659676222
573	3.657780897
574	3.654830944
575	3.652649581
576	3.650416688
577	3.648294888
578	3.643523118
579	3.640891054
580	3.637778044
581	3.634669693
582	3.633841067
583	3.633254941
584	3.631928388
585	3.629772058
586	3.627585915
587	3.625133491
588	3.623704933
589	3.622976498
590	3.622432329
591	3.619032502
592	3.616691586
593	3.615127953
594	3.61364731
595	3.613144499
596	3.609763075
597	3.608067335
598	3.607251344
599	3.606431168
600	3.603042713
601	3.601164946
602	3.600373476
603	3.6000582
604	3.598969782
605	3.598632865
606	3.597156773
607	3.596518711
608	3.595045997
609	3.591137855
610	3.589495952
611	3.587032658
612	3.583186634
613	3.582289686
614	3.579369189
615	3.576459223
616	3.575843251
617	3.574576939
618	3.572378111
619	3.570227818
620	3.568197576
621	3.568057622
622	3.566752847
623	3.56553709
624	3.564020015
625	3.56334172
626	3.561607447
627	3.560325232
628	3.558468306
629	3.555577233
630	3.554219881
631	3.554027722
632	3.552996937
633	3.550937756
634	3.549458948
635	3.547607534
636	3.545166221
637	3.539746594
638	3.536849398
639	3.532481918
640	3.528402076
641	3.52788923
642	3.526412461
643	3.52612209
644	3.522697715
645	3.521766076
646	3.519991928
647	3.51982454
648	3.518582413
649	3.513990849
650	3.510483062
651	3.509189452
652	3.505081459
653	3.504032571
654	3.501397591
655	3.500294082
656	3.498710263
657	3.496950923
658	3.494220832
659	3.492976769
660	3.491652504
661	3.488097469
662	3.486284311
663	3.484488287
664	3.483120296
665	3.482129196
666	3.481617347
667	3.479980215
668	3.476824631
669	3.475865096
670	3.47282835
671	3.468461947
672	3.46447569
673	3.462575587
674	3.462045098
675	3.461073695
676	3.459490849
677	3.456778613
678	3.455064269
679	3.454894046
680	3.453562109
681	3.453177731
682	3.452937915
683	3.451074557
684	3.450281477
685	3.449217863
686	3.44799372
687	3.445286374
688	3.442909283
689	3.442807421
690	3.442096736
691	3.439958622
692	3.439459121
693	3.435965993
694	3.435448188
695	3.43409593
696	3.432176188
697	3.430543816
698	3.429085288
699	3.427382041
700	3.423077064
701	3.418995512
702	3.416354415
703	3.415145735
704	3.413461303
705	3.41185863
706	3.409575797
707	3.408850689
708	3.404835627
709	3.402021636
710	3.400129637
711	3.399006741
712	3.397874613
713	3.397169449
714	3.393456991
715	3.392683245
716	3.389938791
717	3.388265363
718	3.387071804
719	3.385380276
720	3.383521806
721	3.383043314
722	3.381794846
723	3.37966748
724	3.377340339
725	3.376085527
726	3.374149654
727	3.372982083
728	3.369741803
729	3.367171085
730	3.3662968
731	3.364833958
732	3.362828217
733	3.360569123
734	3.360073004
735	3.354294611
736	3.351774605
737	3.350829311
738	3.349255434
739	3.34818771
740	3.348099138
741	3.345110394
742	3.343396833
743	3.340382934
744	3.339935918
745	3.337183943
746	3.333899305
747	3.332631055
748	3.330643829
749	3.328964406
750	3.327687985
751	3.327099059
752	3.325819312
753	3.324408597
754	3.324328225
755	3.323555015
756	3.321164608
757	3.319021966
758	3.317503904
759	3.316833674
760	3.312742973
761	3.311400207
762	3.308278467
763	3.307847781
764	3.305994058
765	3.304916025
766	3.304050273
767	3.301118078
768	3.299895336
769	3.296914843
770	3.2915386
771	3.289254527
772	3.287098475
773	3.286735211
774	3.2853677
775	3.282462592
776	3.280907957
777	3.27661345
778	3.276478917
779	3.275265765
780	3.273790406
781	3.271151542
782	3.268136705
783	3.263568264
784	3.262128826
785	3.260704522
786	3.257142957
787	3.255288986
788	3.254210513
789	3.251705813
790	3.250659836
791	3.249220474
792	3.249162863
793	3.248881012
794	3.248437846
795	3.246370028
796	3.244447409
797	3.242008164
798	3.241029072
799	3.238837819
800	3.237809724
801	3.234605011
802	3.232637049
803	3.23094788
804	3.229611441
805	3.226910109
806	3.226268306
807	3.225206487
808	3.223878366
809	3.221160549
810	3.219793479
811	3.219402406
812	3.218008601
813	3.215653587
814	3.21458285
815	3.214252406
816	3.213655084
817	3.212152938
818	3.211526912
819	3.211018067
820	3.210709598
821	3.208087992
822	3.20444167
823	3.203197577
824	3.202576942
825	3.201387855
826	3.200746867
827	3.197292555
828	3.195748936
829	3.195005198
830	3.192912948
831	3.192751758
832	3.191576825
833	3.190959599
834	3.190686287
835	3.185612115
836	3.182304428
837	3.181370666
838	3.180145644
839	3.177169142
840	3.173676104
841	3.172865787
842	3.172311891
843	3.171746317
844	3.170619043
845	3.170025538
846	3.169418277
847	3.167830901
848	3.166173497
849	3.16414549
850	3.160654429
851	3.159359138
852	3.157193227
853	3.1565634
854	3.156025048
855	3.15427663
856	3.151329177
857	3.149121616
858	3.148568821
859	3.145201369
860	3.144189202
861	3.142743037
862	3.141468413
863	3.13969498
864	3.137495812
865	3.135891272
866	3.133995056
867	3.131278747
868	3.129322324
869	3.128812717
870	3.127953372
871	3.127720957
872	3.127238279
873	3.125026136
874	3.124276366
875	3.121745101
876	3.120452326
877	3.11719614
878	3.116721338
879	3.116617725
880	3.116200119
881	3.116080367
882	3.11444766
883	3.112728298
884	3.111634552
885	3.111291134
886	3.110898799
887	3.109222799
888	3.105921313
889	3.104970041
890	3.104360308
891	3.102983234
892	3.101776182
893	3.101548749
894	3.097938537
895	3.094467764
896	3.093263702
897	3.092505387
898	3.090562226
899	3.088135064
900	3.087010073
901	3.08639882
902	3.085254969
903	3.083788471
904	3.082019664
905	3.081876416
906	3.079321156
907	3.078747929
908	3.074524659
909	3.073678815
910	3.072382341
911	3.070858772
912	3.067632222
913	3.06741338
914	3.065544425
915	3.064666053
916	3.064400097
917	3.063595448
918	3.062871597
919	3.059828281
920	3.059258612
921	3.058293026
922	3.056484951
923	3.05545021
924	3.053667193
925	3.050410978
926	3.049062378
927	3.047661604
928	3.045350688
929	3.044851505
930	3.04341952
931	3.041649458
932	3.040142738
933	3.036685899
934	3.035767645
935	3.034870009
936	3.034055825
937	3.032393636
938	3.032017593
939	3.03190605
940	3.030143265
941	3.029388751
942	3.027771384
943	3.027095548
944	3.025482435
945	3.023860154
946	3.022272219
947	3.021542857
948	3.018815759
949	3.016129253
950	3.015193965
951	3.013242697
952	3.011862863
953	3.01031285
954	3.008952567
955	3.007253217
956	3.005643729
957	3.005060044
958	3.003767679
959	3.003394805
960	3.001744199
961	3.001481832
962	3.000587422
963	3.000229232
964	2.996807016
965	2.996029163
966	2.995564629
967	2.993462192
968	2.992993555
969	2.992438006
970	2.991487493
971	2.990958829
972	2.990389748
973	2.988385086
974	2.987685002
975	2.986959604
976	2.985638939
977	2.983660748
978	2.981610413
979	2.981494811
980	2.980675626
981	2.977779068
982	2.976620018
983	2.976267173
984	2.974053242
985	2.972792556
986	2.971421249
987	2.971201873
988	2.96861692
989	2.964028418
990	2.963593201
991	2.962516739
992	2.959468709
993	2.958003198
994	2.957846627
995	2.953728552
996	2.952877694
997	2.952269846
998	2.950193168
999	2.949970273
